Unrestricted Electives,Faculty Requirements:,Faculty Requirement MCs:,Common Core,Common Core MCs,Core Modules:,Core Modules MCs:,Design and Project Modules:,Design and Project Modules MCs:,Electives:,Elective MCs:
32,ES1531  Critical Thinking and Writing,4,CS1010E  Programming Methodology,4,PC1431 OR PC1432,4,IE3100R  Systems Design Project,8,ISE Electives,12
,EG2401A  Engineering Professionalism,2,EE2211  Introduction to Machine Learning,4,ST2334  Probability and Statistics,4,IE4100R  BEng Dissertation,8,Pathway Requirements (RfP) ,8
,,,EG1311  Design and Make,4,IE2100  Probability Models with Applications,4,,,IE5xxx OR IE6xxx,4
,,,IE1111R  Industrial & Systems Engineering Principles & Practice I,4,IE2110  Operations Research I,4,,,IE5xxx OR IE6xxx,4
,,,IE2111  Industrial & Systems Engineering Principles & Practice II,4,IE3101  Statistics for Engineering Applications,4,,,EG3612  Vacation Internship Programme,6
,,,IE2141  Systems Thinking and Dynamics,4,IE3110R  Simulation,4,,,,
,,,MA1505  Mathematics I,4,,,,,,
,,,MA1508E  Linear Algebra,4,,,,,,
,,,MLE1010  Materials Engineering Principles & Practice,4,,,,,,
